dep_airport,arr_airport,dep_date_time,fuel_gallons,tail_number
LTN,UES,1/9/24,3000,N138GL
UES,OAK,1/10/24,1500,N138GL
BUR,OAK,1/12/24,380,N138GL
OAK,BUR,1/12/24,320,N138GL
BUR,OAK,1/16/24,470,N138GL
OAK,TEB,1/16/24,2100,N138GL
TEB,OAK,1/18/24,2100,N138GL
VNY,TEB,1/24/24,1800,N138GL
TEB,HDN,1/25/24,1300,N138GL
HDN,LVK,1/27/24,580,N138GL
LVK,MIA,2/1/24,1900,N138GL
BOS,MDW,2/6/24,620,N138GL
MIA,BOS,2/6/24,930,N138GL
MDW,PUC,2/8/24,910,N138GL
PUC,TEB,2/17/24,1400,N138GL
MCO,SSI,2/19/24,370,N138GL
TEB,MCO,2/19/24,780,N138GL
SSI,FDK,2/22/24,450,N138GL
ZPH,GUC,2/23/24,720,N138GL
CIG,SCK,2/25/24,730,N138GL
ZZV,CIG,2/25/24,1000,N138GL
PSP,LAX,2/26/24,550,N138GL
LOT,SKA,2/27/24,1100,N138GL
LWT,BWI,2/28/24,1600,N138GL
NRC,SJC,3/1/24,250,N138GL
OAK,SZP,3/1/24,430,N138GL
SZP,NRC,3/1/24,500,N138GL
SJC,RIL,3/4/24,910,N138GL
RIL,CCR,3/6/24,1000,N138GL
VNC,HVE,3/10/24,1200,N138GL
WGO,EAT,3/12/24,1600,N138GL
HSH,NTK,3/17/24,380,N138GL
GLD,SWF,3/18/24,1100,N138GL
SWF,MMH,3/21/24,1800,N138GL
MMH,TVL,3/25/24,430,N138GL
TVL,ESP,3/25/24,1700,N138GL
ESP,TNU,3/27/24,680,N138GL
TNU,HWD,3/28/24,1100,N138GL
HWD,RNO,4/5/24,370,N138GL
RNO,YLR,4/6/24,1200,N138GL
YLR,YYZ,4/6/24,960,N138GL
NOT,BVA,4/7/24,4300,N138GL
NOT,MEV,4/13/24,350,N138GL
MEV,MDW,4/14/24,1300,N138GL
MDW,CDW,4/15/24,480,N138GL
CDW,ELY,4/16/24,1700,N138GL
ELY,OAK,4/16/24,370,N138GL
OAK,SBA,4/17/24,320,N138GL
SBA,OAK,4/18/24,310,N138GL
OAK,HTH,4/23/24,350,N138GL
HTH,MDW,4/24/24,1200,N138GL
MDW,OAK,4/26/24,1300,N138GL
OAK,SBA,5/1/24,340,N138GL
SBA,OAK,5/3/24,380,N138GL
OAK,BUR,5/8/24,390,N138GL
BUR,TEB,5/9/24,1700,N138GL
OAK,MDW,5/13/24,1400,N138GL
MDW,VNY,5/14/24,1400,N138GL
VNY,OAK,5/14/24,430,N138GL
OAK,BUR,5/15/24,350,N138GL
BUR,OAK,5/16/24,340,N138GL
OAK,TVL,5/16/24,780,N138GL
TVL,TEB,5/16/24,1700,N138GL
TEB,OAK,5/17/24,2200,N138GL
OAK,EWR,5/19/24,1800,N138GL
EWR,IAD,5/20/24,350,N138GL
IAD,OAK,5/20/24,1800,N138GL
MDW,NCE,5/23/24,3300,N138GL
OAK,MDW,5/23/24,1700,N138GL
BKF,HOU,5/29/23,830,N143MW
ISP,HOU,5/29/23,1700,N143MW
LIT,TUL,5/29/23,280,N143MW
HOU,SAN,5/30/23,1200,N143MW
SAN,HOU,5/31/23,1600,N143MW
HOU,TEB,6/5/23,1500,N143MW
TEB,HOU,6/14/23,1500,N143MW
HOU,SAN,6/27/23,1300,N143MW
SAN,HOU,6/28/23,1400,N143MW
HOU,MCO,7/11/23,830,N143MW
PBI,HOU,7/13/23,1000,N143MW
APA,SAN,7/17/23,910,N143MW
HOU,APA,7/17/23,820,N143MW
SAN,TUL,7/17/23,1200,N143MW
TUL,HOU,7/24/23,610,N143MW
HOU,SAN,7/25/23,1500,N143MW
SAN,HOU,7/26/23,1300,N143MW
HOU,PBI,8/2/23,1100,N143MW
APF,ISP,8/3/23,1000,N143MW
PBI,APF,8/3/23,220,N143MW
ISP,ICT,8/9/23,1200,N143MW
ICT,ISP,8/10/23,1400,N143MW
ISP,HOU,8/13/23,1600,N143MW
HOU,DAL,8/17/23,370,N143MW
DAL,AGS,8/18/23,890,N143MW
HOU,AUS,8/21/23,280,N143MW
AUS,HOU,8/22/23,280,N143MW
HOU,MKE,8/23/23,1000,N143MW
BUR,LAS,8/24/23,360,N143MW
MKE,HOU,8/25/23,980,N143MW
HOU,SAN,8/29/23,1400,N143MW
SAN,HOU,8/30/23,1400,N143MW
ISP,HOU,9/10/23,1500,N143MW
HOU,MCO,9/11/23,860,N143MW
HOU,SAN,9/26/23,1500,N143MW
SAN,HOU,9/27/23,1300,N143MW
HOU,SAN,10/24/23,1300,N143MW
SAN,HOU,10/25/23,1400,N143MW
HOU,TEB,11/14/23,1600,N143MW
TEB,HOU,11/15/23,1600,N143MW
HOU,TCB,11/20/23,1300,N143MW
TCB,WTD,11/26/23,1100,N143MW
HPY,SAN,11/28/23,1500,N143MW
SAN,TEB,11/30/23,2300,N143MW
TEB,HOU,12/4/23,1400,N143MW
HOU,KOA,12/26/23,3900,N143MW
KOA,HOU,1/3/24,3600,N143MW
HIO,BUR,1/9/24,840,N143MW
HOU,SAN,1/9/24,1300,N143MW
VNY,LAS,1/12/24,320,N143MW
GLS,VNY,1/23/24,1300,N143MW
CGZ,HOU,1/25/24,960,N143MW
VNY,CGZ,1/25/24,430,N143MW
FST,IPL,2/27/24,750,N143MW
LOT,SKA,2/27/24,1100,N143MW
IPL,WHT,2/29/24,1200,N143MW
VNY,TEB,3/1/24,2500,N143MW
GMP,SQL,3/5/24,5900,N143MW
ARG,SUA,3/7/24,790,N143MW
NTD,TTD,3/21/24,750,N143MW
TPF,BPT,3/24/24,640,N143MW
BPT,AUS,3/25/24,450,N143MW
AUS,WHT,3/27/24,660,N143MW
WHT,POE,3/28/24,560,N143MW
POE,MSL,3/29/24,690,N143MW
MSL,TEB,4/9/24,1200,N143MW
AUS,HOU,4/15/24,550,N143MW
LAX,LAS,4/16/24,300,N143MW
HOU,ISM,4/19/24,1100,N143MW
ISM,HOU,4/28/24,840,N143MW
HOU,SAN,5/1/24,1400,N143MW
SAN,HOU,5/2/24,1300,N143MW
HOU,ILG,5/17/24,1200,N143MW
ILG,HOU,5/20/24,1300,N143MW
HOU,SUA,5/24/24,830,N143MW
SUA,HOU,5/24/24,1000,N143MW
LAS,FOK,6/1/23,2300,N151SD
FOK,OPF,6/2/23,1200,N151SD
OPF,LAS,6/18/23,2100,N151SD
LAS,VNY,6/21/23,330,N151SD
VNY,TEB,6/28/23,2800,N151SD
TEB,VNY,6/29/23,2600,N151SD
VNY,LAS,6/29/23,390,N151SD
EWR,BUR,6/30/23,2700,N151SD
LAS,VCV,6/30/23,290,N151SD
RAL,LAS,6/30/23,280,N151SD
MDW,LAS,7/1/23,1500,N151SD
BUR,LAS,7/3/23,420,N151SD
IAD,LAS,7/3/23,1900,N151SD
BFI,LAS,7/4/23,890,N151SD
LAS,TEB,7/7/23,2500,N151SD
TEB,LBG,7/8/23,3400,N151SD
NAP,QLT,7/10/23,860,N151SD
LBG,NCE,7/18/23,660,N151SD
NCE,TEB,7/20/23,3800,N151SD
TEB,LAS,7/20/23,2500,N151SD
ENW,LAS,7/29/23,1600,N151SD
LAS,ENW,7/29/23,1500,N151SD
VNY,KOA,8/9/23,2800,N151SD
SNA,PMD,8/16/23,210,N151SD
PMD,LAS,8/17/23,300,N151SD
LAS,VNY,8/19/23,350,N151SD
INS,LAX,8/20/23,370,N151SD
LAX,INS,8/20/23,440,N151SD
VNY,INS,8/20/23,310,N151SD
INS,FLL,8/22/23,2300,N151SD
BUR,DAL,8/24/23,1100,N151SD
FLL,PMD,8/24/23,2700,N151SD
DAL,PMD,8/26/23,1200,N151SD
PMD,OPF,8/28/23,2100,N151SD
ATL,BQH,9/4/23,3800,N151SD
BDH,ATL,9/4/23,1100,N151SD
BQH,ATL,9/4/23,3800,N151SD
OPF,ATL,9/4/23,920,N151SD
VNY,SJC,9/21/23,350,N151SD
INS,FXE,10/5/23,2200,N151SD
LAS,LAX,10/12/23,430,N151SD
ATL,LGA,10/13/23,830,N151SD
LAX,ATL,10/14/23,2100,N151SD
LGA,STN,10/14/23,3400,N151SD
STN,TLV,10/15/23,2100,N151SD
TLV,TLV,10/15/23,2200,N151SD
STN,BGR,10/16/23,3200,N151SD
LAS,OPF,10/20/23,2200,N151SD
VNY,BFL,10/24/23,310,N151SD
OPF,VNY,11/5/23,2400,N151SD
VNY,OPF,11/6/23,2200,N151SD
OPF,LAS,11/7/23,2500,N151SD
VNY,TUS,11/15/23,580,N151SD
LAS,VNY,11/30/23,330,N151SD
OPF,LAS,12/19/23,2200,N151SD
LAS,VNY,1/3/24,450,N151SD
VNY,LAS,1/3/24,540,N151SD
LAS,OPF,1/11/24,2300,N151SD
EDE,MYR,2/16/24,340,N151SD
BLD,CNU,2/18/24,1100,N151SD
CNU,WJF,2/20/24,1300,N151SD
WJF,BYS,2/21/24,550,N151SD
OPF,GCW,2/27/24,3200,N151SD
LAS,VNY,2/28/24,400,N151SD
VNY,TEB,3/1/24,2500,N151SD
TEB,KEF,3/4/24,3000,N151SD
KEF,KEF,3/5/24,2500,N151SD
LYS,STN,3/7/24,500,N151SD
STN,TLV,3/11/24,2400,N151SD
TLV,TLV,3/15/24,730,N151SD
BOM,BOM,3/19/24,1400,N151SD
DXB,STN,5/3/24,3400,N151SD
STN,TEB,5/4/24,3500,N151SD
TEB,LAS,5/5/24,2800,N151SD
LAS,VNY,5/7/24,540,N151SD
VNY,LAS,5/18/24,500,N151SD
LAS,VNY,5/25/24,470,N151SD
VNY,LAS,5/26/24,530,N151SD
LAS,VNY,5/28/24,670,N151SD
VNY,LAS,5/28/24,450,N151SD
SJC,SCK,6/4/23,190,N162JC
SCK,PBI,6/17/23,2100,N162JC
PBI,VNY,9/13/23,2200,N162JC
VNY,PBI,9/21/23,2300,N162JC
SNA,FLL,10/5/23,2300,N162JC
PBI,OXF,10/10/23,4100,N162JC
OXF,SNN,10/13/23,580,N162JC
PHL,VNY,10/29/23,2100,N162JC
PBI,VNY,11/28/23,2200,N162JC
SUA,WJF,12/8/23,2400,N162JC
PBI,HNL,12/28/23,4500,N162JC
ASE,DAL,12/31/23,510,N162JC
OGG,VRB,1/1/24,4200,N162JC
HNL,PBI,1/14/24,4800,N162JC
OGG,SUA,1/14/24,5400,N162JC
PBI,VNY,1/15/24,2300,N162JC
VNY,PBI,1/17/24,2100,N162JC
CNM,VNY,2/6/24,930,N162JC
PBI,CNM,2/6/24,1700,N162JC
VNY,SJT,2/9/24,1200,N162JC
UKI,VKS,3/8/24,1900,N162JC
LBB,SUA,3/24/24,1500,N162JC
SUA,VNY,4/18/24,2100,N162JC
VNY,PBI,4/19/24,3000,N162JC
SUA,PBI,4/22/24,420,N162JC
JWN,PBI,4/23/24,680,N162JC
PBI,JWN,4/23/24,680,N162JC
PBI,SUA,4/23/24,400,N162JC
SUA,PBI,4/27/24,430,N162JC
PBI,VNY,4/28/24,3100,N162JC
PBI,SUA,4/30/24,360,N162JC
VNY,PBI,4/30/24,2600,N162JC
SUA,PBI,5/10/24,480,N162JC
PBI,SJC,5/11/24,2600,N162JC
BUR,LAS,5/28/24,350,N162JC
EGE,BFI,7/4/23,930,N194WM
BFI,BZN,7/5/23,390,N194WM
BZN,NOW,7/19/23,600,N194WM
NOW,CLD,7/21/23,1200,N194WM
CLD,NOW,7/24/23,1100,N194WM
NOW,DCA,7/25/23,2400,N194WM
VNY,LAS,7/28/23,260,N194WM
GRO,BCN,7/29/23,3400,N194WM
HPN,SOU,7/31/23,2900,N194WM
BFI,BZN,8/18/23,670,N194WM
BZN,BFI,8/21/23,580,N194WM
BFI,JFK,8/28/23,2300,N194WM
BFI,CLD,9/1/23,1000,N194WM
CLD,BFI,9/4/23,1100,N194WM
LAS,BFI,10/1/23,740,N194WM
BFI,JTR,10/6/23,5500,N194WM
JTR,SMI,10/9/23,4400,N194WM
GLA,GLA,10/10/23,4000,N194WM
HPN,GLA,10/10/23,2800,N194WM
BFI,SJC,10/11/23,1500,N194WM
SJC,MKC,10/14/23,1400,N194WM
MKC,BFI,10/15/23,1500,N194WM
BFI,SLA,10/30/23,5900,N194WM
SLA,SLA,11/2/23,3200,N194WM
TAP,PVR,11/2/23,930,N194WM
BHM,FXE,11/5/23,490,N194WM
CPT,CPT,11/17/23,3200,N194WM
KAN,KAN,11/19/23,5400,N194WM
PBI,BFI,11/26/23,2400,N194WM
CLD,LAX,12/4/23,280,N194WM
LAX,OCN,12/4/23,320,N194WM
CLD,BFI,12/5/23,910,N194WM
BFI,OFF,12/19/23,1200,N194WM
OFF,BFI,12/20/23,1300,N194WM
BFI,LMM,12/21/23,1700,N194WM
LMM,LAP,12/24/23,720,N194WM
LAP,BFI,1/4/24,1600,N194WM
BFI,BZN,1/11/24,970,N194WM
BZN,BFI,1/12/24,970,N194WM
BFI,CLD,1/16/24,1100,N194WM
CLD,BFI,1/19/24,1100,N194WM
CLD,BMC,1/19/24,980,N194WM
BFI,EPH,2/15/24,600,N194WM
EPH,EAT,2/15/24,350,N194WM
EAT,IDH,2/21/24,630,N194WM
IDH,PUW,2/25/24,530,N194WM
PUW,BFI,2/25/24,510,N194WM
BFI,GRF,2/27/24,450,N194WM
CLD,VNY,2/28/24,870,N194WM
GRF,CLD,2/28/24,1500,N194WM
LVK,BFI,3/1/24,680,N194WM
VNY,LVK,3/1/24,880,N194WM
BFI,YET,3/2/24,820,N194WM
FDK,COE,3/9/24,1900,N194WM
OAK,LTQ,3/9/24,5300,N194WM
SNA,HSH,3/15/24,430,N194WM
ESW,DRU,3/18/24,390,N194WM
BJJ,PTK,3/19/24,210,N194WM
BIH,SZP,3/26/24,490,N194WM
LNA,NEG,4/1/24,600,N194WM
GCM,MTH,4/5/24,580,N194WM
NEG,GCM,4/5/24,400,N194WM
BFI,HOW,4/14/24,5800,N194WM
LAS,ORL,4/14/24,1400,N194WM
CLT,CNO,4/16/24,4600,N194WM
BFI,MSO,4/17/24,530,N194WM
FTW,LAS,4/17/24,890,N194WM
TEB,DCA,4/18/24,530,N194WM
DCA,EWR,4/20/24,490,N194WM
DIK,BFI,4/24/24,880,N194WM
EWR,DIK,4/24/24,1400,N194WM
BFI,SBA,5/1/24,810,N194WM
SBA,CLD,5/3/24,450,N194WM
CLD,BFI,5/5/24,930,N194WM
BFI,EWR,5/7/24,3700,N194WM
DCA,EWR,5/13/24,590,N194WM
EWR,DCA,5/13/24,430,N194WM
EWR,HPN,5/15/24,460,N194WM
HPN,BFI,5/15/24,3100,N194WM
ADS,BFI,5/21/24,2000,N194WM
BFI,ADS,5/21/24,1900,N194WM
BFI,DCA,5/23/24,3500,N194WM
DCA,PGA,5/25/24,2000,N194WM
PGA,BFI,5/28/24,1200,N194WM
ISP,LAN,6/30/23,680,N1969C
NTD,HSH,8/19/23,350,N1969C
HSH,VNY,8/23/23,340,N1969C
PSP,MGE,8/25/23,1600,N1969C
VNY,PSP,8/25/23,200,N1969C
MGE,WJF,8/28/23,1500,N1969C
MOT,MRS,8/30/23,3700,N1969C
WJF,MOT,8/30/23,920,N1969C
BGR,SNA,9/4/23,1900,N1969C
MRS,BGR,9/4/23,2400,N1969C
SNA,TEB,9/5/23,1900,N1969C
IAD,MGE,9/21/23,380,N1969C
TEB,IAD,9/21/23,300,N1969C
LGC,VNY,9/24/23,1500,N1969C
MGE,LGC,9/24/23,220,N1969C
VNY,OPF,10/5/23,1700,N1969C
OPF,MSP,10/7/23,1000,N1969C
MSP,OPF,10/8/23,990,N1969C
OPF,VNY,10/11/23,1800,N1969C
VNY,TRM,10/12/23,1000,N1969C
OPF,YIP,10/13/23,790,N1969C
YIP,OPF,10/14/23,890,N1969C
DAG,VNY,10/15/23,190,N1969C
OPF,DAG,10/15/23,1500,N1969C
IAD,OPF,10/20/23,730,N1969C
VNY,IAD,10/20/23,1600,N1969C
OPF,VNY,10/25/23,1700,N1969C
VNY,NRT,11/5/23,3700,N1969C
BUR,CLW,11/15/23,1400,N1969C
VNY,TUS,11/15/23,580,N1969C
CLW,WJF,11/17/23,1500,N1969C
WJF,ITO,11/19/23,1900,N1969C
ITO,KOA,11/25/23,270,N1969C
KOA,VNY,11/26/23,2100,N1969C
OAR,FAT,12/10/23,190,N1969C
FAT,VNY,12/11/23,220,N1969C
LAS,VNY,12/14/23,250,N1969C
VNY,LAS,12/14/23,270,N1969C
VNY,OGG,12/17/23,1900,N1969C
OGG,VNY,12/19/23,1800,N1969C
VNY,SAN,1/1/24,210,N1969C
SAN,SNA,1/3/24,290,N1969C
SNA,ATL,1/17/24,1400,N1969C
ATL,ILN,1/27/24,370,N1969C
ILN,MMU,1/28/24,370,N1969C
MMU,WJF,1/28/24,1700,N1969C
WJF,HSH,2/2/24,420,N1969C
GJT,AIV,2/7/24,830,N1969C
HSH,GJT,2/7/24,360,N1969C
AIV,AZO,2/9/24,520,N1969C
AZO,BTR,2/13/24,750,N1969C
BTR,VNY,2/13/24,1500,N1969C
VNY,LVS,2/14/24,680,N1969C
LVS,RUI,2/15/24,400,N1969C
RUI,BNG,2/15/24,490,N1969C
BNG,VNY,2/17/24,710,N1969C
VNY,PMD,2/17/24,300,N1969C
PMD,BDG,2/19/24,410,N1969C
VNY,HWO,2/19/24,2700,N1969C
DAG,VNY,2/24/24,440,N1969C
GCN,DAG,2/24/24,340,N1969C
VNY,LAS,2/25/24,360,N1969C
LAS,BIM,2/26/24,1600,N1969C
ARA,VNY,2/28/24,1200,N1969C
PHX,OAK,2/29/24,520,N1969C
VNY,PHX,2/29/24,380,N1969C
LFK,EIS,3/6/24,1700,N1969C
OAK,LFK,3/6/24,1200,N1969C
EIS,EIS,3/10/24,940,N1969C
VNC,HVE,3/10/24,1200,N1969C
HVE,SZP,3/11/24,400,N1969C
SZP,BBD,3/16/24,990,N1969C
LGA,DXR,3/19/24,220,N1969C
OCH,FEP,3/19/24,1000,N1969C
FEP,PMD,3/21/24,1200,N1969C
EDW,YKF,3/24/24,1600,N1969C
MOD,UDD,3/25/24,340,N1969C
BNA,BYS,3/30/24,1200,N1969C
LCH,XCM,3/30/24,540,N1969C
VNY,HNM,4/3/24,2200,N1969C
HNM,FTW,4/6/24,3200,N1969C
FTW,PGA,4/8/24,570,N1969C
PGA,VNY,4/9/24,370,N1969C
VNY,YVR,4/11/24,810,N1969C
BTF,VNY,4/12/24,540,N1969C
MYL,BTF,4/12/24,410,N1969C
YVR,YYZ,4/12/24,360,N1969C
FRM,LWL,4/26/24,780,N1969C
SJC,FRM,4/26/24,1100,N1969C
SJC,MCI,5/8/24,1300,N1969C
VNY,SJC,5/8/24,410,N1969C
MCI,SJC,5/11/24,1100,N1969C
SJC,VNY,5/11/24,480,N1969C
VNY,OPF,5/14/24,1600,N1969C
OPF,VNY,5/15/24,1600,N1969C
VNY,TEB,5/22/24,1800,N1969C
SJC,FLR,5/24/24,4200,N1969C
VNY,SJC,5/24/24,360,N1969C
SJC,FLL,5/28/24,1900,N1969C
CMA,TEB,5/29/23,2900,N1980K
TEB,CMA,6/2/23,2400,N1980K
CMA,SXF,6/6/23,5600,N1980K
SXF,CMA,6/7/23,5600,N1980K
CMA,VNY,6/12/23,380,N1980K
VNY,TEB,6/17/23,2700,N1980K
TEB,LBG,6/20/23,3400,N1980K
LBG,TEB,6/21/23,4500,N1980K
TEB,CMA,6/24/23,2800,N1980K
CMA,FTW,6/26/23,1300,N1980K
FTW,CMA,6/30/23,1600,N1980K
CMA,COE,7/2/23,1100,N1980K
COE,TEB,7/3/23,3600,N1980K
TEB,FOK,7/3/23,500,N1980K
FOK,COE,7/4/23,2200,N1980K
COE,CMA,7/7/23,1300,N1980K
CMA,COE,7/8/23,1100,N1980K
COE,LAX,7/8/23,1100,N1980K
BRI,QLT,7/10/23,5200,N1980K
OPF,TEB,7/11/23,1000,N1980K
TEB,CMA,7/13/23,3700,N1980K
CMA,OPF,7/21/23,2600,N1980K
OPF,CMA,7/22/23,2900,N1980K
CMA,NRT,7/23/23,5100,N1980K
NRT,KIX,7/25/23,400,N1980K
KIX,SAN,7/26/23,5600,N1980K
SAN,CMA,7/26/23,490,N1980K
CMA,VNY,7/27/23,370,N1980K
LAX,NAP,7/31/23,6100,N1980K
VNY,LAX,7/31/23,370,N1980K
NAP,QLT,8/1/23,480,N1980K
CTA,QLT,8/6/23,560,N1980K
DBV,DBV,8/6/23,520,N1980K
GOA,QLT,8/6/23,5700,N1980K
CMA,COE,8/8/23,1200,N1980K
COE,CMA,8/12/23,1100,N1980K
CMA,PBI,8/16/23,2400,N1980K
PBI,CMA,8/17/23,3800,N1980K
CMA,COE,8/18/23,860,N1980K
COE,CMA,8/18/23,1000,N1980K
CMA,NRT,8/20/23,4700,N1980K
NRT,KIX,8/24/23,480,N1980K
KIX,CMA,8/26/23,5300,N1980K
CMA,ATL,9/1/23,1900,N1980K
ATL,SAV,9/3/23,660,N1980K
SAV,CMA,9/3/23,1900,N1980K
CMA,TEB,9/11/23,3100,N1980K
TEB,CMA,9/13/23,2300,N1980K
CMA,TEB,9/28/23,3000,N1980K
TEB,CDG,9/28/23,3400,N1980K
CDG,ACY,9/30/23,3500,N1980K
CMA,SAV,10/3/23,2300,N1980K
TEB,CMA,10/3/23,2700,N1980K
SAV,CMA,10/24/23,3800,N1980K
CMA,VNY,12/13/23,370,N1980K
LAS,CMA,12/14/23,430,N1980K
VNY,LAS,12/14/23,440,N1980K
CMA,LAS,12/15/23,380,N1980K
LAS,CMA,12/15/23,470,N1980K
CMA,TEB,12/26/23,2300,N1980K
TEB,CMA,12/29/23,2300,N1980K
CMA,SLC,12/30/23,630,N1980K
SLC,CMA,1/2/24,800,N1980K
CMA,TEB,1/7/24,2400,N1980K
TEB,CMA,1/13/24,2600,N1980K
CMA,MSY,1/24/24,1600,N1980K
CDG,CMA,1/25/24,5400,N1980K
MSY,CDG,1/25/24,4500,N1980K
CMA,CDG,1/27/24,5300,N1980K
CDG,VNY,1/28/24,5400,N1980K
VNY,CMA,1/28/24,410,N1980K
CMA,VNY,1/29/24,400,N1980K
VNY,CMA,2/1/24,410,N1980K
CMA,VNY,2/9/24,400,N1980K
MAE,VNY,2/9/24,470,N1980K
VNY,MAE,2/9/24,520,N1980K
VNY,LAS,2/10/24,440,N1980K
CMA,PHX,2/12/24,440,N1980K
LAS,CMA,2/12/24,400,N1980K
LAS,VNY,2/12/24,460,N1980K
PHX,CMA,2/12/24,530,N1980K
VNY,LAS,2/12/24,510,N1980K
CMA,CDG,2/24/24,5400,N1980K
CDG,VNY,2/26/24,5400,N1980K
VNY,CMA,2/26/24,370,N1980K
CMA,VNY,3/2/24,430,N1980K
VNY,CDG,3/2/24,4800,N1980K
CDG,CMA,3/4/24,5400,N1980K
CMA,VNY,3/10/24,400,N1980K
VNY,CMA,3/23/24,480,N1980K
CMA,TRM,3/29/24,420,N1980K
TRM,CMA,3/31/24,430,N1980K
CMA,PLS,4/5/24,3100,N1980K
