dep_airport,arr_airport,dep_date_time,fuel_gallons,tail_number,celebrity_id,celebrity_name
LVK,MIA,2/1/24,1900,N138GL,14,George Lucas
BOS,MDW,2/6/24,620,N138GL,14,George Lucas
MIA,BOS,2/6/24,930,N138GL,14,George Lucas
MDW,PUC,2/8/24,910,N138GL,14,George Lucas
PUC,TEB,2/17/24,1400,N138GL,14,George Lucas
MCO,SSI,2/19/24,370,N138GL,14,George Lucas
TEB,MCO,2/19/24,780,N138GL,14,George Lucas
SSI,FDK,2/22/24,450,N138GL,14,George Lucas
ZPH,GUC,2/23/24,720,N138GL,14,George Lucas
CIG,SCK,2/25/24,730,N138GL,14,George Lucas
ZZV,CIG,2/25/24,1000,N138GL,14,George Lucas
PSP,LAX,2/26/24,550,N138GL,14,George Lucas
LOT,SKA,2/27/24,1100,N138GL,14,George Lucas
LWT,BWI,2/28/24,1600,N138GL,14,George Lucas
NRC,SJC,3/1/24,250,N138GL,14,George Lucas
OAK,SZP,3/1/24,430,N138GL,14,George Lucas
SZP,NRC,3/1/24,500,N138GL,14,George Lucas
SJC,RIL,3/4/24,910,N138GL,14,George Lucas
RIL,CCR,3/6/24,1000,N138GL,14,George Lucas
VNC,HVE,3/10/24,1200,N138GL,14,George Lucas
WGO,EAT,3/12/24,1600,N138GL,14,George Lucas
HSH,NTK,3/17/24,380,N138GL,14,George Lucas
GLD,SWF,3/18/24,1100,N138GL,14,George Lucas
SWF,MMH,3/21/24,1800,N138GL,14,George Lucas
MMH,TVL,3/25/24,430,N138GL,14,George Lucas
TVL,ESP,3/25/24,1700,N138GL,14,George Lucas
ESP,TNU,3/27/24,680,N138GL,14,George Lucas
TNU,HWD,3/28/24,1100,N138GL,14,George Lucas
HWD,RNO,4/5/24,370,N138GL,14,George Lucas
RNO,YLR,4/6/24,1200,N138GL,14,George Lucas
YLR,YYZ,4/6/24,960,N138GL,14,George Lucas
NOT,BVA,4/7/24,4300,N138GL,14,George Lucas
NOT,MEV,4/13/24,350,N138GL,14,George Lucas
MEV,MDW,4/14/24,1300,N138GL,14,George Lucas
MDW,CDW,4/15/24,480,N138GL,14,George Lucas
CDW,ELY,4/16/24,1700,N138GL,14,George Lucas
ELY,OAK,4/16/24,370,N138GL,14,George Lucas
OAK,SBA,4/17/24,320,N138GL,14,George Lucas
SBA,OAK,4/18/24,310,N138GL,14,George Lucas
OAK,HTH,4/23/24,350,N138GL,14,George Lucas
HTH,MDW,4/24/24,1200,N138GL,14,George Lucas
MDW,OAK,4/26/24,1300,N138GL,14,George Lucas
OAK,SBA,5/1/24,340,N138GL,14,George Lucas
SBA,OAK,5/3/24,380,N138GL,14,George Lucas
OAK,BUR,5/8/24,390,N138GL,14,George Lucas
BUR,TEB,5/9/24,1700,N138GL,14,George Lucas
OAK,MDW,5/13/24,1400,N138GL,14,George Lucas
MDW,VNY,5/14/24,1400,N138GL,14,George Lucas
VNY,OAK,5/14/24,430,N138GL,14,George Lucas
OAK,BUR,5/15/24,350,N138GL,14,George Lucas
BUR,OAK,5/16/24,340,N138GL,14,George Lucas
OAK,TVL,5/16/24,780,N138GL,14,George Lucas
TVL,TEB,5/16/24,1700,N138GL,14,George Lucas
TEB,OAK,5/17/24,2200,N138GL,14,George Lucas
OAK,EWR,5/19/24,1800,N138GL,14,George Lucas
EWR,IAD,5/20/24,350,N138GL,14,George Lucas
IAD,OAK,5/20/24,1800,N138GL,14,George Lucas
MDW,NCE,5/23/24,3300,N138GL,14,George Lucas
OAK,MDW,5/23/24,1700,N138GL,14,George Lucas
BKF,HOU,5/29/23,830,N143MW,31,Mark Wahlburg
ISP,HOU,5/29/23,1700,N143MW,31,Mark Wahlburg
LIT,TUL,5/29/23,280,N143MW,31,Mark Wahlburg
HOU,SAN,5/30/23,1200,N143MW,31,Mark Wahlburg
SAN,HOU,5/31/23,1600,N143MW,31,Mark Wahlburg
HOU,TEB,6/5/23,1500,N143MW,31,Mark Wahlburg
TEB,HOU,6/14/23,1500,N143MW,31,Mark Wahlburg
HOU,SAN,6/27/23,1300,N143MW,31,Mark Wahlburg
SAN,HOU,6/28/23,1400,N143MW,31,Mark Wahlburg
HOU,MCO,7/11/23,830,N143MW,31,Mark Wahlburg
PBI,HOU,7/13/23,1000,N143MW,31,Mark Wahlburg
APA,SAN,7/17/23,910,N143MW,31,Mark Wahlburg
HOU,APA,7/17/23,820,N143MW,31,Mark Wahlburg
SAN,TUL,7/17/23,1200,N143MW,31,Mark Wahlburg
TUL,HOU,7/24/23,610,N143MW,31,Mark Wahlburg
HOU,SAN,7/25/23,1500,N143MW,31,Mark Wahlburg
SAN,HOU,7/26/23,1300,N143MW,31,Mark Wahlburg
HOU,PBI,8/2/23,1100,N143MW,31,Mark Wahlburg
APF,ISP,8/3/23,1000,N143MW,31,Mark Wahlburg
PBI,APF,8/3/23,220,N143MW,31,Mark Wahlburg
ISP,ICT,8/9/23,1200,N143MW,31,Mark Wahlburg
ICT,ISP,8/10/23,1400,N143MW,31,Mark Wahlburg
ISP,HOU,8/13/23,1600,N143MW,31,Mark Wahlburg
HOU,DAL,8/17/23,370,N143MW,31,Mark Wahlburg
DAL,AGS,8/18/23,890,N143MW,31,Mark Wahlburg
HOU,AUS,8/21/23,280,N143MW,31,Mark Wahlburg
AUS,HOU,8/22/23,280,N143MW,31,Mark Wahlburg
HOU,MKE,8/23/23,1000,N143MW,31,Mark Wahlburg
BUR,LAS,8/24/23,360,N143MW,31,Mark Wahlburg
MKE,HOU,8/25/23,980,N143MW,31,Mark Wahlburg
HOU,SAN,8/29/23,1400,N143MW,31,Mark Wahlburg
SAN,HOU,8/30/23,1400,N143MW,31,Mark Wahlburg
ISP,HOU,9/10/23,1500,N143MW,31,Mark Wahlburg
HOU,MCO,9/11/23,860,N143MW,31,Mark Wahlburg
HOU,SAN,9/26/23,1500,N143MW,31,Mark Wahlburg
SAN,HOU,9/27/23,1300,N143MW,31,Mark Wahlburg
HOU,SAN,10/24/23,1300,N143MW,31,Mark Wahlburg
SAN,HOU,10/25/23,1400,N143MW,31,Mark Wahlburg
HOU,TEB,11/14/23,1600,N143MW,31,Mark Wahlburg
TEB,HOU,11/15/23,1600,N143MW,31,Mark Wahlburg
HOU,TCB,11/20/23,1300,N143MW,31,Mark Wahlburg
TCB,WTD,11/26/23,1100,N143MW,31,Mark Wahlburg
HPY,SAN,11/28/23,1500,N143MW,31,Mark Wahlburg
SAN,TEB,11/30/23,2300,N143MW,31,Mark Wahlburg
TEB,HOU,12/4/23,1400,N143MW,31,Mark Wahlburg
HOU,KOA,12/26/23,3900,N143MW,31,Mark Wahlburg
KOA,HOU,1/3/24,3600,N143MW,31,Mark Wahlburg
HIO,BUR,1/9/24,840,N143MW,31,Mark Wahlburg
HOU,SAN,1/9/24,1300,N143MW,31,Mark Wahlburg
VNY,LAS,1/12/24,320,N143MW,31,Mark Wahlburg
GLS,VNY,1/23/24,1300,N143MW,31,Mark Wahlburg
CGZ,HOU,1/25/24,960,N143MW,31,Mark Wahlburg
VNY,CGZ,1/25/24,430,N143MW,31,Mark Wahlburg
FST,IPL,2/27/24,750,N143MW,31,Mark Wahlburg
LOT,SKA,2/27/24,1100,N143MW,31,Mark Wahlburg
IPL,WHT,2/29/24,1200,N143MW,31,Mark Wahlburg
VNY,TEB,3/1/24,2500,N143MW,31,Mark Wahlburg
GMP,SQL,3/5/24,5900,N143MW,31,Mark Wahlburg
ARG,SUA,3/7/24,790,N143MW,31,Mark Wahlburg
NTD,TTD,3/21/24,750,N143MW,31,Mark Wahlburg
TPF,BPT,3/24/24,640,N143MW,31,Mark Wahlburg
BPT,AUS,3/25/24,450,N143MW,31,Mark Wahlburg
AUS,WHT,3/27/24,660,N143MW,31,Mark Wahlburg
WHT,POE,3/28/24,560,N143MW,31,Mark Wahlburg
POE,MSL,3/29/24,690,N143MW,31,Mark Wahlburg
MSL,TEB,4/9/24,1200,N143MW,31,Mark Wahlburg
AUS,HOU,4/15/24,550,N143MW,31,Mark Wahlburg
LAX,LAS,4/16/24,300,N143MW,31,Mark Wahlburg
HOU,ISM,4/19/24,1100,N143MW,31,Mark Wahlburg
ISM,HOU,4/28/24,840,N143MW,31,Mark Wahlburg
HOU,SAN,5/1/24,1400,N143MW,31,Mark Wahlburg
SAN,HOU,5/2/24,1300,N143MW,31,Mark Wahlburg
HOU,ILG,5/17/24,1200,N143MW,31,Mark Wahlburg
ILG,HOU,5/20/24,1300,N143MW,31,Mark Wahlburg
HOU,SUA,5/24/24,830,N143MW,31,Mark Wahlburg
SUA,HOU,5/24/24,1000,N143MW,31,Mark Wahlburg
LAS,FOK,6/1/23,2300,N151SD,13,Floyd Mayweather
FOK,OPF,6/2/23,1200,N151SD,13,Floyd Mayweather
OPF,LAS,6/18/23,2100,N151SD,13,Floyd Mayweather
LAS,VNY,6/21/23,330,N151SD,13,Floyd Mayweather
VNY,TEB,6/28/23,2800,N151SD,13,Floyd Mayweather
TEB,VNY,6/29/23,2600,N151SD,13,Floyd Mayweather
VNY,LAS,6/29/23,390,N151SD,13,Floyd Mayweather
EWR,BUR,6/30/23,2700,N151SD,13,Floyd Mayweather
LAS,VCV,6/30/23,290,N151SD,13,Floyd Mayweather
RAL,LAS,6/30/23,280,N151SD,13,Floyd Mayweather
MDW,LAS,7/1/23,1500,N151SD,13,Floyd Mayweather
BUR,LAS,7/3/23,420,N151SD,13,Floyd Mayweather
IAD,LAS,7/3/23,1900,N151SD,13,Floyd Mayweather
BFI,LAS,7/4/23,890,N151SD,13,Floyd Mayweather
LAS,TEB,7/7/23,2500,N151SD,13,Floyd Mayweather
TEB,LBG,7/8/23,3400,N151SD,13,Floyd Mayweather
NAP,QLT,7/10/23,860,N151SD,13,Floyd Mayweather
LBG,NCE,7/18/23,660,N151SD,13,Floyd Mayweather
NCE,TEB,7/20/23,3800,N151SD,13,Floyd Mayweather
TEB,LAS,7/20/23,2500,N151SD,13,Floyd Mayweather
ENW,LAS,7/29/23,1600,N151SD,13,Floyd Mayweather
LAS,ENW,7/29/23,1500,N151SD,13,Floyd Mayweather
VNY,KOA,8/9/23,2800,N151SD,13,Floyd Mayweather
SNA,PMD,8/16/23,210,N151SD,13,Floyd Mayweather
PMD,LAS,8/17/23,300,N151SD,13,Floyd Mayweather
LAS,VNY,8/19/23,350,N151SD,13,Floyd Mayweather
INS,LAX,8/20/23,370,N151SD,13,Floyd Mayweather
LAX,INS,8/20/23,440,N151SD,13,Floyd Mayweather
VNY,INS,8/20/23,310,N151SD,13,Floyd Mayweather
INS,FLL,8/22/23,2300,N151SD,13,Floyd Mayweather
BUR,DAL,8/24/23,1100,N151SD,13,Floyd Mayweather
FLL,PMD,8/24/23,2700,N151SD,13,Floyd Mayweather
DAL,PMD,8/26/23,1200,N151SD,13,Floyd Mayweather
PMD,OPF,8/28/23,2100,N151SD,13,Floyd Mayweather
ATL,BQH,9/4/23,3800,N151SD,13,Floyd Mayweather
BDH,ATL,9/4/23,1100,N151SD,13,Floyd Mayweather
BQH,ATL,9/4/23,3800,N151SD,13,Floyd Mayweather
OPF,ATL,9/4/23,920,N151SD,13,Floyd Mayweather
VNY,SJC,9/21/23,350,N151SD,13,Floyd Mayweather
INS,FXE,10/5/23,2200,N151SD,13,Floyd Mayweather
LAS,LAX,10/12/23,430,N151SD,13,Floyd Mayweather
ATL,LGA,10/13/23,830,N151SD,13,Floyd Mayweather
LAX,ATL,10/14/23,2100,N151SD,13,Floyd Mayweather
LGA,STN,10/14/23,3400,N151SD,13,Floyd Mayweather
STN,TLV,10/15/23,2100,N151SD,13,Floyd Mayweather
TLV,TLV,10/15/23,2200,N151SD,13,Floyd Mayweather
STN,BGR,10/16/23,3200,N151SD,13,Floyd Mayweather
LAS,OPF,10/20/23,2200,N151SD,13,Floyd Mayweather
VNY,BFL,10/24/23,310,N151SD,13,Floyd Mayweather
OPF,VNY,11/5/23,2400,N151SD,13,Floyd Mayweather
VNY,OPF,11/6/23,2200,N151SD,13,Floyd Mayweather
OPF,LAS,11/7/23,2500,N151SD,13,Floyd Mayweather
VNY,TUS,11/15/23,580,N151SD,13,Floyd Mayweather
LAS,VNY,11/30/23,330,N151SD,13,Floyd Mayweather
OPF,LAS,12/19/23,2200,N151SD,13,Floyd Mayweather
LAS,VNY,1/3/24,450,N151SD,13,Floyd Mayweather
VNY,LAS,1/3/24,540,N151SD,13,Floyd Mayweather
LAS,OPF,1/11/24,2300,N151SD,13,Floyd Mayweather
EDE,MYR,2/16/24,340,N151SD,13,Floyd Mayweather
BLD,CNU,2/18/24,1100,N151SD,13,Floyd Mayweather
CNU,WJF,2/20/24,1300,N151SD,13,Floyd Mayweather
WJF,BYS,2/21/24,550,N151SD,13,Floyd Mayweather
OPF,GCW,2/27/24,3200,N151SD,13,Floyd Mayweather
LAS,VNY,2/28/24,400,N151SD,13,Floyd Mayweather
VNY,TEB,3/1/24,2500,N151SD,13,Floyd Mayweather
TEB,KEF,3/4/24,3000,N151SD,13,Floyd Mayweather
KEF,KEF,3/5/24,2500,N151SD,13,Floyd Mayweather
LYS,STN,3/7/24,500,N151SD,13,Floyd Mayweather
STN,TLV,3/11/24,2400,N151SD,13,Floyd Mayweather
TLV,TLV,3/15/24,730,N151SD,13,Floyd Mayweather
BOM,BOM,3/19/24,1400,N151SD,13,Floyd Mayweather
DXB,STN,5/3/24,3400,N151SD,13,Floyd Mayweather
STN,TEB,5/4/24,3500,N151SD,13,Floyd Mayweather
TEB,LAS,5/5/24,2800,N151SD,13,Floyd Mayweather
LAS,VNY,5/7/24,540,N151SD,13,Floyd Mayweather
VNY,LAS,5/18/24,500,N151SD,13,Floyd Mayweather
LAS,VNY,5/25/24,470,N151SD,13,Floyd Mayweather
VNY,LAS,5/26/24,530,N151SD,13,Floyd Mayweather
LAS,VNY,5/28/24,670,N151SD,13,Floyd Mayweather
VNY,LAS,5/28/24,450,N151SD,13,Floyd Mayweather
SJC,SCK,6/4/23,190,N162JC,20,Jim Carrey
SCK,PBI,6/17/23,2100,N162JC,20,Jim Carrey
PBI,VNY,9/13/23,2200,N162JC,20,Jim Carrey
VNY,PBI,9/21/23,2300,N162JC,20,Jim Carrey
SNA,FLL,10/5/23,2300,N162JC,20,Jim Carrey
PBI,OXF,10/10/23,4100,N162JC,20,Jim Carrey
OXF,SNN,10/13/23,580,N162JC,20,Jim Carrey
PHL,VNY,10/29/23,2100,N162JC,20,Jim Carrey
PBI,VNY,11/28/23,2200,N162JC,20,Jim Carrey
SUA,WJF,12/8/23,2400,N162JC,20,Jim Carrey
PBI,HNL,12/28/23,4500,N162JC,20,Jim Carrey
ASE,DAL,12/31/23,510,N162JC,20,Jim Carrey
OGG,VRB,1/1/24,4200,N162JC,20,Jim Carrey
HNL,PBI,1/14/24,4800,N162JC,20,Jim Carrey
OGG,SUA,1/14/24,5400,N162JC,20,Jim Carrey
PBI,VNY,1/15/24,2300,N162JC,20,Jim Carrey
VNY,PBI,1/17/24,2100,N162JC,20,Jim Carrey
CNM,VNY,2/6/24,930,N162JC,20,Jim Carrey
PBI,CNM,2/6/24,1700,N162JC,20,Jim Carrey
VNY,SJT,2/9/24,1200,N162JC,20,Jim Carrey
UKI,VKS,3/8/24,1900,N162JC,20,Jim Carrey
LBB,SUA,3/24/24,1500,N162JC,20,Jim Carrey
SUA,VNY,4/18/24,2100,N162JC,20,Jim Carrey
VNY,PBI,4/19/24,3000,N162JC,20,Jim Carrey
SUA,PBI,4/22/24,420,N162JC,20,Jim Carrey
JWN,PBI,4/23/24,680,N162JC,20,Jim Carrey
PBI,JWN,4/23/24,680,N162JC,20,Jim Carrey
PBI,SUA,4/23/24,400,N162JC,20,Jim Carrey
SUA,PBI,4/27/24,430,N162JC,20,Jim Carrey
PBI,VNY,4/28/24,3100,N162JC,20,Jim Carrey
PBI,SUA,4/30/24,360,N162JC,20,Jim Carrey
VNY,PBI,4/30/24,2600,N162JC,20,Jim Carrey
SUA,PBI,5/10/24,480,N162JC,20,Jim Carrey
PBI,SJC,5/11/24,2600,N162JC,20,Jim Carrey
BUR,LAS,5/28/24,350,N162JC,20,Jim Carrey
EGE,BFI,7/4/23,930,N194WM,2,Bill Gates
BFI,BZN,7/5/23,390,N194WM,2,Bill Gates
BZN,NOW,7/19/23,600,N194WM,2,Bill Gates
NOW,CLD,7/21/23,1200,N194WM,2,Bill Gates
CLD,NOW,7/24/23,1100,N194WM,2,Bill Gates
NOW,DCA,7/25/23,2400,N194WM,2,Bill Gates
VNY,LAS,7/28/23,260,N194WM,2,Bill Gates
GRO,BCN,7/29/23,3400,N194WM,2,Bill Gates
HPN,SOU,7/31/23,2900,N194WM,2,Bill Gates
BFI,BZN,8/18/23,670,N194WM,2,Bill Gates
BZN,BFI,8/21/23,580,N194WM,2,Bill Gates
BFI,JFK,8/28/23,2300,N194WM,2,Bill Gates
BFI,CLD,9/1/23,1000,N194WM,2,Bill Gates
CLD,BFI,9/4/23,1100,N194WM,2,Bill Gates
LAS,BFI,10/1/23,740,N194WM,2,Bill Gates
BFI,JTR,10/6/23,5500,N194WM,2,Bill Gates
JTR,SMI,10/9/23,4400,N194WM,2,Bill Gates
GLA,GLA,10/10/23,4000,N194WM,2,Bill Gates
HPN,GLA,10/10/23,2800,N194WM,2,Bill Gates
BFI,SJC,10/11/23,1500,N194WM,2,Bill Gates
SJC,MKC,10/14/23,1400,N194WM,2,Bill Gates
MKC,BFI,10/15/23,1500,N194WM,2,Bill Gates
BFI,SLA,10/30/23,5900,N194WM,2,Bill Gates
SLA,SLA,11/2/23,3200,N194WM,2,Bill Gates
TAP,PVR,11/2/23,930,N194WM,2,Bill Gates
BHM,FXE,11/5/23,490,N194WM,2,Bill Gates
CPT,CPT,11/17/23,3200,N194WM,2,Bill Gates
KAN,KAN,11/19/23,5400,N194WM,2,Bill Gates
PBI,BFI,11/26/23,2400,N194WM,2,Bill Gates
CLD,LAX,12/4/23,280,N194WM,2,Bill Gates
LAX,OCN,12/4/23,320,N194WM,2,Bill Gates
CLD,BFI,12/5/23,910,N194WM,2,Bill Gates
BFI,OFF,12/19/23,1200,N194WM,2,Bill Gates
OFF,BFI,12/20/23,1300,N194WM,2,Bill Gates
BFI,LMM,12/21/23,1700,N194WM,2,Bill Gates
LMM,LAP,12/24/23,720,N194WM,2,Bill Gates
LAP,BFI,1/4/24,1600,N194WM,2,Bill Gates
BFI,BZN,1/11/24,970,N194WM,2,Bill Gates
BZN,BFI,1/12/24,970,N194WM,2,Bill Gates
BFI,CLD,1/16/24,1100,N194WM,2,Bill Gates
CLD,BFI,1/19/24,1100,N194WM,2,Bill Gates
CLD,BMC,1/19/24,980,N194WM,2,Bill Gates
BFI,EPH,2/15/24,600,N194WM,2,Bill Gates
EPH,EAT,2/15/24,350,N194WM,2,Bill Gates
EAT,IDH,2/21/24,630,N194WM,2,Bill Gates
IDH,PUW,2/25/24,530,N194WM,2,Bill Gates
PUW,BFI,2/25/24,510,N194WM,2,Bill Gates
BFI,GRF,2/27/24,450,N194WM,2,Bill Gates
CLD,VNY,2/28/24,870,N194WM,2,Bill Gates
GRF,CLD,2/28/24,1500,N194WM,2,Bill Gates
LVK,BFI,3/1/24,680,N194WM,2,Bill Gates
VNY,LVK,3/1/24,880,N194WM,2,Bill Gates
BFI,YET,3/2/24,820,N194WM,2,Bill Gates
FDK,COE,3/9/24,1900,N194WM,2,Bill Gates
OAK,LTQ,3/9/24,5300,N194WM,2,Bill Gates
SNA,HSH,3/15/24,430,N194WM,2,Bill Gates
ESW,DRU,3/18/24,390,N194WM,2,Bill Gates
BJJ,PTK,3/19/24,210,N194WM,2,Bill Gates
BIH,SZP,3/26/24,490,N194WM,2,Bill Gates
LNA,NEG,4/1/24,600,N194WM,2,Bill Gates
GCM,MTH,4/5/24,580,N194WM,2,Bill Gates
NEG,GCM,4/5/24,400,N194WM,2,Bill Gates
BFI,HOW,4/14/24,5800,N194WM,2,Bill Gates
LAS,ORL,4/14/24,1400,N194WM,2,Bill Gates
CLT,CNO,4/16/24,4600,N194WM,2,Bill Gates
BFI,MSO,4/17/24,530,N194WM,2,Bill Gates
FTW,LAS,4/17/24,890,N194WM,2,Bill Gates
TEB,DCA,4/18/24,530,N194WM,2,Bill Gates
DCA,EWR,4/20/24,490,N194WM,2,Bill Gates
DIK,BFI,4/24/24,880,N194WM,2,Bill Gates
EWR,DIK,4/24/24,1400,N194WM,2,Bill Gates
BFI,SBA,5/1/24,810,N194WM,2,Bill Gates
SBA,CLD,5/3/24,450,N194WM,2,Bill Gates
CLD,BFI,5/5/24,930,N194WM,2,Bill Gates
BFI,EWR,5/7/24,3700,N194WM,2,Bill Gates
DCA,EWR,5/13/24,590,N194WM,2,Bill Gates
EWR,DCA,5/13/24,430,N194WM,2,Bill Gates
EWR,HPN,5/15/24,460,N194WM,2,Bill Gates
